Accommodation_ID,Place_ID,Hotel_Name,Rating,Price_Per_Night,Distance_from_Place
1,3,Baker Inc,3.1,640,7.4
2,2,Fry Group,3.3,1463,5.5
3,4,"Mitchell, Marquez and Wang",4.3,2192,16.2
4,3,Miles-Miller,4.2,605,12.4
5,2,"Medina, Hernandez and Miller",3.8,3136,8.6
6,1,Dixon and Sons,4.0,1786,13.8
7,2,Herrera Group,4.6,4154,6.3
8,1,"Walters, Davenport and Becker",4.1,535,8.8
9,1,Collins Group,3.7,2208,12.8
10,3,"Ashley, Allen and Sanchez",3.0,1800,17.7
11,1,Wilson-Salazar,4.6,509,3.9
12,1,Parker Ltd,4.7,3131,15.5
13,1,"Yang, Wilson and Zimmerman",3.5,1816,6.4
14,3,"Smith, Crawford and Reed",4.7,3773,16.3
15,3,"Logan, Le and Jackson",4.2,3540,8.8
16,5,Brady LLC,3.3,982,17.5
17,1,"Tanner, Wise and Johnson",3.4,1161,1.0
18,3,Nelson-Brown,4.2,2046,5.0
19,5,"Proctor, Burton and Crawford",4.2,1269,5.9
20,5,"Ward, Porter and Bradley",4.4,2077,8.8
21,1,Moore-Ayala,4.4,3851,3.0
22,3,"Craig, Wilson and Yang",4.2,1625,11.8
23,5,Williams Inc,3.2,4948,12.1
24,1,Williams LLC,3.6,2414,7.2
25,4,Mora-White,3.9,4213,13.6
26,4,Tran Ltd,3.5,3323,17.7
27,2,"Rios, Walker and Wright",4.4,2928,9.4
28,2,"Flores, Mckenzie and Duncan",5.0,3317,7.6
29,3,Shaw Inc,4.5,4711,1.7
30,4,Walker PLC,3.2,2368,12.9
31,1,Finley Inc,3.3,3165,2.4
32,1,Cline-Ayala,4.6,3583,7.3
33,4,Murphy-Tran,5.0,3062,18.6
34,5,Wood LLC,3.2,2040,14.9
35,4,"Mueller, Stevenson and Sanchez",3.5,785,10.7
36,2,Vargas-Snyder,4.6,1512,16.6
37,4,Oconnor PLC,4.4,4225,2.8
38,2,Hernandez Group,3.7,2908,2.2
39,3,Hall LLC,3.5,2996,6.5
40,4,"Franco, Wiley and Tapia",3.6,2189,12.2
41,3,Blake Group,4.6,2690,19.8
42,5,"Acosta, Garcia and Moreno",3.8,4607,18.6
43,2,Barnes Inc,4.1,2326,13.6
44,2,Dawson Inc,4.7,633,3.3
45,4,Morse PLC,4.6,4994,8.4
46,2,Haynes-Watson,3.3,3478,7.2
47,4,"Miller, Davis and Anderson",4.1,4861,16.5
48,1,Jones-Bradley,4.0,4759,12.3
49,1,Bates-Anderson,4.2,737,3.9
50,3,Green-Edwards,4.9,1548,13.5
51,2,Haynes-Moss,3.1,1463,3.1
52,4,Chavez-Hall,3.2,4723,8.9
53,5,Taylor PLC,4.9,4103,9.1
54,4,Moore and Sons,4.7,3219,4.7
55,2,Owens-Russell,4.3,2453,9.5
56,2,"Howard, Townsend and Hayes",4.0,1189,1.6
57,1,Baker-Wilson,3.9,4476,3.3
58,1,Aguirre LLC,4.6,4065,2.5
59,4,"Terry, Williams and Huff",4.2,2138,5.0
60,5,Hernandez-Dawson,4.2,1319,3.9
61,4,Foster-Williams,4.1,3802,14.6
62,5,Green-Ewing,4.8,1267,4.3
63,3,Crane Group,3.8,2049,3.9
64,5,"Adkins, Wright and Murray",4.5,4981,3.1
65,5,Martinez Inc,3.0,3208,15.3
66,2,Anderson Group,3.4,1400,4.7
67,5,Parks-Pace,4.7,2885,1.8
68,4,Aguilar LLC,3.7,2942,9.4
69,4,Johnson Inc,3.5,3057,3.4
70,4,Orr Group,3.5,1093,9.8
71,1,Davis LLC,4.2,3993,8.2
72,2,Williams Group,4.8,4700,2.5
73,1,Jackson PLC,4.9,1071,2.0
74,1,Underwood-Foster,4.7,4397,5.4
75,5,Reyes Group,4.7,3349,8.0
76,1,Gomez and Sons,4.2,4426,10.6
77,3,Ramirez-Stephenson,3.2,2648,1.4
78,1,Mendez PLC,4.5,3956,1.9
79,3,Holland Group,3.0,2168,10.4
80,2,Andrade-Mendoza,3.9,2174,19.4
81,3,Ramirez and Sons,4.3,1062,3.9
82,5,Gonzalez-Wilkerson,4.1,2537,15.4
83,2,"Wright, Mcknight and Stephens",3.0,3791,18.0
84,1,Mayo Ltd,5.0,3493,0.7
85,4,Castillo-Harrington,4.2,2113,1.9
86,1,Durham-Shaw,4.1,4785,18.0
87,2,Nelson-Johnson,4.6,1151,9.7
88,2,"Robinson, Huang and Osborne",4.2,2216,18.4
89,4,Stokes Group,3.3,1021,7.1
90,2,"Howard, Silva and Hall",3.4,4197,18.9
91,4,Garcia Ltd,3.2,3859,10.2
92,1,Adams Ltd,4.3,4566,13.6
93,1,Gallagher and Sons,3.5,3490,5.4
94,5,"Bradford, Salinas and Kelly",3.4,801,14.7
95,4,Thompson PLC,3.1,4851,11.1
96,3,Drake-Wolfe,3.5,4368,14.7
97,2,"Johnson, Haynes and Meza",3.3,782,19.3
98,3,"Thomas, Vaughan and Copeland",3.3,960,8.6
99,5,Weaver-Thompson,4.2,3243,12.4
100,3,Davis and Sons,3.3,1804,15.3
