Booking_ID,Visitor_ID,Place_ID,Booking_Date,Visit_Date,Number_of_Visitors
1,88,1,2024-08-19,2024-06-17,4
2,62,1,2024-05-14,2024-10-09,2
3,52,4,2024-11-01,2024-05-01,2
4,39,2,2024-06-18,2024-08-23,3
5,56,1,2024-07-17,2024-02-14,3
6,2,2,2024-05-29,2024-08-11,4
7,54,5,2024-03-14,2024-04-08,4
8,97,1,2024-01-18,2024-10-02,3
9,2,5,2024-06-18,2024-01-01,4
10,90,4,2024-07-20,2024-11-09,3
11,75,3,2024-07-28,2024-09-23,1
12,38,5,2024-10-06,2024-10-15,4
13,98,3,2024-10-13,2024-09-17,3
14,16,1,2024-03-17,2024-05-21,1
15,59,5,2024-06-16,2024-01-28,3
16,20,4,2024-09-14,2024-05-08,3
17,36,3,2024-08-30,2024-05-01,2
18,67,3,2024-09-14,2024-11-25,4
19,96,4,2024-02-18,2024-10-06,1
20,33,2,2024-04-26,2024-07-15,4
21,1,3,2024-04-30,2024-09-15,4
22,57,1,2024-06-07,2024-05-06,2
23,23,2,2024-06-05,2024-09-27,3
24,7,4,2024-04-24,2024-08-03,4
25,90,1,2024-02-19,2024-03-15,4
26,60,1,2024-06-12,2024-09-15,2
27,1,4,2024-05-27,2024-09-20,1
28,37,3,2024-10-17,2024-03-08,3
29,9,1,2024-08-27,2024-08-09,3
30,19,3,2024-04-26,2024-06-06,4
31,24,1,2024-07-31,2024-11-19,4
32,75,1,2024-01-01,2024-04-28,4
33,36,4,2024-04-21,2024-03-22,2
34,99,1,2024-06-15,2024-11-01,3
35,25,5,2024-08-13,2024-08-23,2
36,82,2,2024-09-11,2024-05-05,2
37,35,5,2024-06-29,2024-06-20,1
38,100,1,2024-06-20,2024-09-19,4
39,33,5,2024-03-23,2024-07-17,4
40,20,3,2024-07-02,2024-11-04,1
41,33,4,2024-11-05,2024-10-12,3
42,86,5,2024-03-06,2024-09-12,3
43,54,3,2024-02-02,2024-04-20,3
44,98,5,2024-07-19,2024-09-14,2
45,97,4,2024-09-02,2024-08-28,3
46,64,1,2024-05-10,2024-02-06,1
47,61,3,2024-11-13,2024-10-18,4
48,35,1,2024-04-01,2024-09-18,4
49,17,4,2024-04-30,2024-03-28,4
50,30,5,2024-11-09,2024-03-18,2
51,6,3,2024-02-27,2024-01-10,4
52,37,5,2024-01-18,2024-04-05,1
53,46,5,2024-07-03,2024-08-25,3
54,99,4,2024-11-26,2024-10-25,1
55,63,5,2024-01-29,2024-06-25,1
56,32,1,2024-06-09,2024-09-01,4
57,67,2,2024-08-11,2024-03-16,1
58,95,2,2024-10-05,2024-09-27,3
59,46,2,2024-05-29,2024-07-10,4
60,47,2,2024-06-04,2024-04-04,3
61,27,2,2024-02-27,2024-09-11,2
62,90,1,2024-09-24,2024-01-03,4
63,33,1,2024-10-18,2024-11-30,3
64,48,5,2024-10-26,2024-02-11,2
65,26,3,2024-10-29,2024-06-14,2
66,25,5,2024-03-25,2024-03-09,4
67,7,1,2024-11-08,2024-09-27,4
68,45,4,2024-07-20,2024-06-29,1
69,8,4,2024-01-20,2024-08-04,3
