Transport_ID,Place_ID,Transport_Type,Distance_from_City_Center,Cost
1,3,Train,43.7,4899
2,5,Flight,7.4,2528
3,4,Flight,4.2,3204
4,3,Flight,34.5,3709
5,2,Train,24.0,615
6,1,Flight,23.1,138
7,5,Bus,15.6,1923
8,2,Flight,34.3,3193
9,3,Flight,43.5,3553
10,4,Bus,47.2,4126
11,4,Train,38.2,4765
12,4,Train,12.3,2080
13,3,Bus,32.9,1909
14,4,Flight,48.4,1084
15,1,Bus,39.1,690
16,3,Train,27.0,4544
17,4,Bus,45.7,4573
18,3,Train,23.6,2353
19,1,Train,34.6,1863
20,1,Train,12.1,216
21,2,Flight,49.2,2868
22,5,Train,34.3,4533
23,3,Bus,38.1,2143
24,1,Flight,24.5,1676
25,1,Bus,29.0,691
26,4,Bus,28.4,4437
27,4,Bus,26.4,2948
28,1,Bus,5.0,1017
29,2,Train,28.8,1809
30,2,Train,41.3,205
31,4,Bus,47.6,416
32,3,Flight,2.5,3244
33,1,Train,46.8,4011
34,2,Train,39.4,4306
35,3,Flight,4.9,307
36,4,Train,41.0,509
37,3,Flight,26.8,4209
38,3,Train,4.0,2234
39,4,Bus,24.5,1366
40,2,Flight,48.8,3527
41,5,Bus,39.7,4890
42,3,Train,2.0,761
43,5,Bus,25.2,3071
44,2,Flight,34.3,452
45,4,Bus,43.5,258
46,2,Bus,42.5,4711
47,4,Train,49.4,1812
48,3,Bus,22.5,3911
49,2,Flight,45.1,1897
50,2,Flight,30.0,1369
51,5,Flight,31.5,3723
52,5,Flight,12.6,4989
53,4,Train,9.8,1039
54,2,Flight,21.2,4105
55,5,Bus,13.1,4576
56,1,Train,5.7,3316
57,3,Bus,48.5,2213
58,3,Bus,1.4,4655
59,4,Bus,12.6,3566
60,2,Flight,22.7,2739
61,2,Bus,17.5,3532
62,1,Bus,13.2,2460
63,4,Bus,30.7,2834
64,5,Bus,39.3,1755
65,4,Flight,43.5,719
66,3,Bus,2.7,2481
67,2,Bus,27.0,1143
68,2,Bus,32.4,1158
69,5,Bus,5.3,1108
70,3,Train,34.7,375
71,5,Train,48.3,225
72,2,Bus,32.3,1308
73,3,Train,17.8,4023
74,5,Train,10.9,4570
75,2,Bus,5.6,1899
76,5,Train,43.5,4281
77,2,Bus,42.1,2574
78,2,Train,25.4,3819
79,1,Flight,46.6,3172
80,3,Flight,33.3,3224
81,5,Bus,6.2,3391
82,2,Train,30.6,674
83,1,Bus,20.9,4883
84,5,Bus,5.4,3330
85,1,Flight,44.0,3273
86,4,Train,22.5,3653
87,2,Bus,40.1,950
88,5,Flight,19.4,921
89,1,Bus,16.9,3247
90,2,Flight,28.6,4086
91,4,Bus,23.0,4500
92,1,Flight,12.1,3438
93,3,Train,32.5,1061
94,1,Flight,27.6,2963
95,2,Train,45.8,1277
96,1,Bus,20.5,3464
97,4,Flight,20.3,2490
98,2,Flight,26.5,120
99,3,Flight,44.9,3288
100,4,Flight,12.9,814
